😀	emoji grinning face
😃	emoji grinning face with big eyes
😄	emoji grinning face with smiling eyes
😁	emoji beaming face with smiling eyes
😆	emoji grinning squinting face
😅	emoji grinning face with sweat
🤣	emoji rolling on the floor laughing
😂	emoji face with tears of joy
🙂	emoji slightly smiling face
🙃	emoji upside-down face
🫠	emoji melting face
😉	emoji winking face
😊	emoji smiling face with smiling eyes
😇	emoji smiling face with halo
🥰	emoji smiling face with hearts
😍	emoji smiling face with heart-eyes
🤩	emoji star-struck
😘	emoji face blowing a kiss
😗	emoji kissing face
☺️	emoji smiling face
😚	emoji kissing face with closed eyes
😙	emoji kissing face with smiling eyes
🥲	emoji smiling face with tear
😋	emoji face savoring food
😛	emoji face with tongue
😜	emoji winking face with tongue
🤪	emoji zany face
😝	emoji squinting face with tongue
🤑	emoji money-mouth face
🤗	emoji smiling face with open hands
🤭	emoji face with hand over mouth
🫢	emoji face with open eyes and hand over mouth
🫣	emoji face with peeking eye
🤫	emoji shushing face
🤔	emoji thinking face
🫡	emoji saluting face
🤐	emoji zipper-mouth face
🤨	emoji face with raised eyebrow
😐	emoji neutral face
😑	emoji expressionless face
😶	emoji face without mouth
🫥	emoji dotted line face
😶‍🌫️	emoji face in clouds
😏	emoji smirking face
😒	emoji unamused face
🙄	emoji face with rolling eyes
😬	emoji grimacing face
😮‍💨	emoji face exhaling
🤥	emoji lying face
🫨	emoji shaking face
🙂‍↔️	emoji head shaking horizontally
🙂‍↕️	emoji head shaking vertically
😌	emoji relieved face
😔	emoji pensive face
😪	emoji sleepy face
🤤	emoji drooling face
😴	emoji sleeping face
🫩	emoji face with bags under eyes
😷	emoji face with medical mask
🤒	emoji face with thermometer
🤕	emoji face with head-bandage
🤢	emoji nauseated face
🤮	emoji face vomiting
🤧	emoji sneezing face
🥵	emoji hot face
🥶	emoji cold face
🥴	emoji woozy face
😵	emoji face with crossed-out eyes
😵‍💫	emoji face with spiral eyes
🤯	emoji exploding head
🤠	emoji cowboy hat face
🥳	emoji partying face
🥸	emoji disguised face
😎	emoji smiling face with sunglasses
🤓	emoji nerd face
🧐	emoji face with monocle
😕	emoji confused face
🫤	emoji face with diagonal mouth
😟	emoji worried face
🙁	emoji slightly frowning face
☹️	emoji frowning face
😮	emoji face with open mouth
